지역,아파트,면적,층,가격
강원특별자치도 강릉시 견소동,송정한신,59.8,5,20500
강원특별자치도 강릉시 견소동,송정한신,39.08,11,15500
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,6,28500
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,4,27000
강원특별자치도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,11,29000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,118.0686,1,43000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,84.9855,9,35000
강원특별자치도 강릉시 교동,강릉교동롯데캐슬2단지,84.9855,9,41000
강원특별자치도 강릉시 교동,교동1주공,59.89,15,22000
강원특별자치도 강릉시 교동,교동1주공,59.89,14,20000
강원특별자치도 강릉시 교동,교동1주공,59.89,2,21000
강원특별자치도 강릉시 교동,교동3주공,59.86,7,26000
강원특별자치도 강릉시 교동,교동3주공,59.84,1,24000
강원특별자치도 강릉시 교동,교동대림,59.84,14,17200
강원특별자치도 강릉시 교동,교동이-편한세상,84.7155,13,35000
강원특별자치도 강릉시 교동,덕진,40.86,5,6000
강원특별자치도 강릉시 교동,부영5,84.93,12,31000
강원특별자치도 강릉시 교동,부영6,59.987,13,25800
강원특별자치도 강릉시 내곡동,관동2,49.94,5,7500
강원특별자치도 강릉시 내곡동,내곡주공,39.3,1,9000
강원특별자치도 강릉시 내곡동,내곡한라,84.95,1,21000
강원특별자치도 강릉시 내곡동,내곡한라,84.95,11,22000
강원특별자치도 강릉시 내곡동,내곡한라,59.97,16,17000
강원특별자치도 강릉시 내곡동,내곡한라,59.97,14,17500
강원특별자치도 강릉시 내곡동,벽산블루밍더베스트아파트,59.96,7,27000
강원특별자치도 강릉시 내곡동,삼익타워맨션,129.41,6,23500
강원특별자치도 강릉시 노암동,노암3한라,74.64,7,19500
강원특별자치도 강릉시 노암동,노암3한라,59.994,2,16500
강원특별자치도 강릉시 노암동,노암3한라,74.64,14,23500
강원특별자치도 강릉시 노암동,노암남산현대,84.99,7,20500
강원특별자치도 강릉시 노암동,노암남산현대,84.99,7,20000
강원특별자치도 강릉시 노암동,노암남산현대,59.84,8,16400
강원특별자치도 강릉시 노암동,노암한라,59.976,8,13000
강원특별자치도 강릉시 노암동,서일,40.69,5,4900
강원특별자치도 강릉시 노암동,신화,44.64,5,12000
강원특별자치도 강릉시 노암동,양우내안애,59.6927,7,26000
강원특별자치도 강릉시 노암동,양우내안애,59.6927,7,26500
강원특별자치도 강릉시 성남동,제일자유상가,62,4,7800
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,109.495,11,62000
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,75.9722,6,34800
강원특별자치도 강릉시 송정동,강릉송정신원아침도시,75.9722,8,37300
강원특별자치도 강릉시 송정동,강릉송정한신더휴,84.9955,16,48900
강원특별자치도 강릉시 송정동,삼우은성,72.86,10,19500
강원특별자치도 강릉시 연곡면 영진리,삼우그린,43.2,9,8500
강원특별자치도 강릉시 연곡면 영진리,삼우그린,43.2,12,8700
강원특별자치도 강릉시 연곡면 영진리,삼우그린,30.24,1,5400
강원특별자치도 강릉시 연곡면 영진리,영진부영2,59.987,1,18000
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,3,24500
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,7,27000
강원특별자치도 강릉시 연곡면 영진리,영진부영3,84.9157,9,32500
강원특별자치도 강릉시 유천동,강릉유천유승한내들더퍼스트,84.3187,23,55800
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,16,43000
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,21,41200
강원특별자치도 강릉시 유천동,엘에이치선수촌8단지,74.88,16,46000
강원특별자치도 강릉시 입암동,강동4차,46.44,6,6000
강원특별자치도 강릉시 입암동,강릉더샵,84.94,7,32000
강원특별자치도 강릉시 입암동,강릉더샵,84.93,13,33000
강원특별자치도 강릉시 입암동,강릉입암동금호어울림,84.96,13,33500
강원특별자치도 강릉시 입암동,강릉입암동금호어울림,84.96,13,34000
강원특별자치도 강릉시 입암동,강변,54.93,5,9500
강원특별자치도 강릉시 입암동,삼동광업소사원,43.47,2,5500
강원특별자치도 강릉시 입암동,은하,39.85,5,6500
강원특별자치도 강릉시 입암동,이안강릉타운,157.34,14,42000
강원특별자치도 강릉시 입암동,이안강릉타운,122.72,14,36000
강원특별자치도 강릉시 입암동,입암1주공,39.72,2,8500
강원특별자치도 강릉시 입암동,입암2주공,39.3,1,10900
강원특별자치도 강릉시 입암동,입암4주공,59.8,15,17500
강원특별자치도 강릉시 입암동,입암4주공,59.8,4,14300
강원특별자치도 강릉시 입암동,입암5주공,49.97,8,12700
강원특별자치도 강릉시 입암동,입암5주공,39.99,1,8050
강원특별자치도 강릉시 입암동,입암5주공,39.99,12,9400
강원특별자치도 강릉시 입암동,입암6주공,59.99,6,16000
강원특별자치도 강릉시 입암동,입암6주공,49.62,10,10100
강원특별자치도 강릉시 입암동,입암6주공,49.62,14,12700
강원특별자치도 강릉시 입암동,입암6주공,59.99,1,16500
강원특별자치도 강릉시 입암동,입암6주공,49.62,7,13000
강원특별자치도 강릉시 입암동,입암6주공,49.62,11,14800
강원특별자치도 강릉시 입암동,입암6주공,49.62,14,13000
강원특별자치도 강릉시 입암동,입암6주공,49.62,13,13000
강원특별자치도 강릉시 입암동,입암동강변코아루오투리움아파트,79.191,10,33000
강원특별자치도 강릉시 입암동,입암현대,59.956,10,21500
강원특별자치도 강릉시 입암동,입암현대,84.904,7,26000
강원특별자치도 강릉시 입암동,태경태우광업소사원,36.69,2,4500
강원특별자치도 강릉시 입암동,태평양임대,34.722,8,6900
강원특별자치도 강릉시 입암동,태평양임대,34.722,7,7400
강원특별자치도 강릉시 입암동,태평양임대,39.348,7,9000
강원특별자치도 강릉시 주문진읍 교항리,극동,63.18,2,12500
강원특별자치도 강릉시 주문진읍 교항리,신생빌라,59.97,5,8150
강원특별자치도 강릉시 주문진읍 교항리,신생빌라,59.97,5,8150
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,49.86,5,7300
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,59.98,11,10500
강원특별자치도 강릉시 주문진읍 교항리,우신그린피아임대,59.98,6,10100
강원특별자치도 강릉시 주문진읍 교항리,유성,49.89,3,6900
강원특별자치도 강릉시 주문진읍 교항리,정우2,84.8,10,14800
강원특별자치도 강릉시 주문진읍 교항리,주문진벽산블루밍오션힐스,59.9493,4,25500
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,74.934,20,34000
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,59.8411,18,26000
강원특별자치도 강릉시 주문진읍 교항리,주문진서희스타힐스아파트,59.9534,9,25000
강원특별자치도 강릉시 주문진읍 주문리,주문진라일플로리스4차,27.902,6,12100
강원특별자치도 강릉시 주문진읍 주문리,주문진삼부르네상스,75.271,12,29000
강원특별자치도 강릉시 주문진읍 주문리,케이티레파트더블루힐,59.33,5,10000
강원특별자치도 강릉시 지변동,덕원임대,52.176,12,9500
강원특별자치도 강릉시 초당동,동부,59.84,11,18000
강원특별자치도 강릉시 초당동,동부,59.84,1,16500
강원특별자치도 강릉시 초당동,동부,84.98,15,23800
강원특별자치도 강릉시 초당동,동부,59.84,9,16500
